onset	duration	orientation	contrast	side	trial	subject	response_time
236.900547777506	0.399985174677568	n/a	n/a	middle	62	4	n/a
238.041265020147	4.90000228083227	15	0.2	right	29	4	n/a
238.041265020147	4.90000228083227	15	0.8	left	29	4	n/a
241.101195531111	0.399979472596897	n/a	n/a	middle	63	4	n/a
244.801165500277	0.400054739729967	n/a	n/a	middle	64	4	n/a
246.641231948248	5.29942295190995	120	0.2	left	30	4	n/a
246.641231948248	5.29942295190995	30	0.2	right	30	4	n/a
248.900521167932	0.400012924656039	n/a	n/a	middle	65	4	n/a
253.000547777512	0.400002660957398	n/a	n/a	middle	66	4	n/a
255.34060928371	5.10071541796788	75	0.2	left	31	4	n/a
255.34060928371	5.10071541796788	60	0.8	right	31	4	n/a
257.000569445343	0.400609359727241	n/a	n/a	middle	67	4	n/a
260.800555380265	0.400022428075317	n/a	n/a	middle	68	4	n/a
263.741275283857	5.19997795205563	0	0.2	left	32	4	n/a
263.741275283857	5.19997795205563	45	0.2	right	32	4	n/a
264.700548917928	0.400640530977398	n/a	n/a	middle	69	4	n/a
268.20117652425	0.400023948634043	n/a	n/a	middle	70	4	n/a
272.053419523087	5.38725286338013	135	0.2	left	33	4	n/a
272.053419523087	5.38725286338013	75	0.2	right	33	4	n/a
272.400552339153	0.400007982883835	n/a	n/a	middle	71	4	n/a
276.001240767422	0.399929674633313	n/a	n/a	middle	72	4	n/a
279.800525729574	0.399976811633678	n/a	n/a	middle	73	4	n/a
280.541298472235	5.19998935615877	120	0.8	right	34	4	n/a
280.541298472235	5.19998935615877	120	0.2	left	34	4	n/a
283.901161698886	0.400022808229551	n/a	n/a	middle	74	4	n/a
288.001191729738	0.399951342435088	n/a	n/a	middle	75	4	n/a
289.061523285287	5.37974667665549	75	0.8	left	35	4	n/a
289.061523285287	5.37974667665549	30	0.2	right	35	4	n/a
292.301170822175	0.400124684965704	n/a	n/a	middle	76	4	n/a
295.900581229595	0.400031931494595	n/a	n/a	middle	77	4	n/a
297.641247533844	5.30005283906939	120	0.8	left	36	4	n/a
297.641247533844	5.30005283906939	120	0.8	right	36	4	n/a
299.70124760989	0.399988976016175	n/a	n/a	middle	78	4	n/a
303.80113775027	0.400025089038536	n/a	n/a	middle	79	4	n/a
306.040579252876	5.20069260973833	75	0.8	right	37	4	n/a
306.040579252876	5.20069260973833	45	0.2	left	37	4	n/a
308.100509003532	0.400038013700396	n/a	n/a	middle	80	4	n/a
311.70120693522	0.399292945017805	n/a	n/a	middle	81	4	n/a
314.578151241323	5.36314761103131	120	0.2	right	38	4	n/a
314.578151241323	5.36314761103131	105	0.8	left	38	4	n/a
316.001202373562	0.400017486303113	n/a	n/a	middle	82	4	n/a
319.600517746701	0.400234924716642	n/a	n/a	middle	83	4	n/a
323.069114622718	5.3716398733377	45	0.2	right	39	4	n/a
323.069114622718	5.3716398733377	150	0.2	left	39	4	n/a
323.700531051494	0.39998023287626	n/a	n/a	middle	84	4	n/a
328.001204274246	0.399362130003283	n/a	n/a	middle	85	4	n/a
331.600580849452	0.400000760273542	n/a	n/a	middle	86	4	n/a
331.866723560495	5.07397771638352	45	0.8	left	40	4	n/a
331.866723560495	5.07397771638352	15	0.8	right	40	4	n/a
335.301223281102	0.399966547935037	n/a	n/a	middle	87	4	n/a
339.600550818606	0.400047897273907	n/a	n/a	middle	88	4	n/a
340.168969410355	5.27170411651605	90	0.8	left	41	4	n/a
340.168969410355	5.27170411651605	105	0.8	right	41	4	n/a
343.900525349425	0.399996578780701	n/a	n/a	middle	89	4	n/a
347.701181085897	0.399996578751598	n/a	n/a	middle	90	4	n/a
348.640707739192	5.30059035288286	15	0.2	left	42	4	n/a
348.640707739192	5.30059035288286	15	0.8	right	42	4	n/a
351.500558041211	0.399994297942612	n/a	n/a	middle	91	4	n/a
355.401205794798	0.400028890406247	n/a	n/a	middle	92	4	n/a
357.04065375973	5.40000380139099	0	0.2	right	43	4	n/a
357.04065375973	5.40000380139099	120	0.8	left	43	4	n/a
359.000558421365	0.400030410964973	n/a	n/a	middle	93	4	n/a
363.100570965878	0.40001026369282	n/a	n/a	middle	94	4	n/a
365.540678088524	5.29991332872305	75	0.2	right	44	4	n/a
365.540678088524	5.29991332872305	60	0.8	left	44	4	n/a
367.400588072051	0.401246089342749	n/a	n/a	middle	95	4	n/a
374.241306455107	5.19932069504284	60	0.2	left	45	4	n/a
374.241306455107	5.19932069504284	30	0.2	right	45	4	n/a
382.54072560565	5.10053143164259	165	0.8	right	46	4	n/a
382.54072560565	5.10053143164259	135	0.8	left	46	4	n/a
391.041264640022	5.39932221558411	0	0.2	right	47	4	n/a
391.041264640022	5.39932221558411	150	0.8	left	47	4	n/a
399.540646917274	5.40060973988147	150	0.8	left	48	4	n/a
399.540646917274	5.40060973988147	105	0.2	right	48	4	n/a
